PassengerId;Survived;Pclass;Sex;Age;SibSp;Parch;Fare;Embarked
1;0;3;1;22;1;0;725;S
2;1;1;2;38;1;0;712833;C
3;1;3;2;26;0;0;7925;S
4;1;1;2;35;1;0;531;S
5;0;3;1;35;0;0;805;S
6;0;3;1;;0;0;84583;Q
7;0;1;1;54;0;0;518625;S
8;0;3;1;2;3;1;21075;S
9;1;3;2;27;0;2;111333;S
10;1;2;2;14;1;0;300708;C
11;1;3;2;4;1;1;167;S
12;1;1;2;58;0;0;2655;S
13;0;3;1;20;0;0;805;S
14;0;3;1;39;1;5;31275;S
15;0;3;2;14;0;0;78542;S
16;1;2;2;55;0;0;16;S
17;0;3;1;2;4;1;29125;Q
18;1;2;1;;0;0;13;S
19;0;3;2;31;1;0;18;S
20;1;3;2;;0;0;7225;C
21;0;2;1;35;0;0;26;S
22;1;2;1;34;0;0;13;S
23;1;3;2;15;0;0;80292;Q
24;1;1;1;28;0;0;355;S
25;0;3;2;8;3;1;21075;S
26;1;3;2;38;1;5;313875;S
27;0;3;1;;0;0;7225;C
28;0;1;1;19;3;2;263;S
29;1;3;2;;0;0;78792;Q
30;0;3;1;;0;0;78958;S
31;0;1;1;40;0;0;277208;C
32;1;1;2;;1;0;1465208;C
33;1;3;2;;0;0;775;Q
34;0;2;1;66;0;0;105;S
35;0;1;1;28;1;0;821708;C
36;0;1;1;42;1;0;52;S
37;1;3;1;;0;0;72292;C
38;0;3;1;21;0;0;805;S
39;0;3;2;18;2;0;18;S
40;1;3;2;14;1;0;112417;C
41;0;3;2;40;1;0;9475;S
42;0;2;2;27;1;0;21;S
43;0;3;1;;0;0;78958;C
44;1;2;2;3;1;2;415792;C
45;1;3;2;19;0;0;78792;Q
46;0;3;1;;0;0;805;S
47;0;3;1;;1;0;155;Q
48;1;3;2;;0;0;775;Q
49;0;3;1;;2;0;216792;C
50;0;3;2;18;1;0;178;S
51;0;3;1;7;4;1;396875;S
52;0;3;1;21;0;0;78;S
53;1;1;2;49;1;0;767292;C
54;1;2;2;29;1;0;26;S
55;0;1;1;65;0;1;619792;C
56;1;1;1;;0;0;355;S
57;1;2;2;21;0;0;105;S
58;0;3;1;285;0;0;72292;C
59;1;2;2;5;1;2;2775;S
60;0;3;1;11;5;2;469;S
61;0;3;1;22;0;0;72292;C
62;1;1;2;38;0;0;80;
63;0;1;1;45;1;0;83475;S
64;0;3;1;4;3;2;279;S
65;0;1;1;;0;0;277208;C
66;1;3;1;;1;1;152458;C
67;1;2;2;29;0;0;105;S
68;0;3;1;19;0;0;81583;S
69;1;3;2;17;4;2;7925;S
70;0;3;1;26;2;0;86625;S
71;0;2;1;32;0;0;105;S
72;0;3;2;16;5;2;469;S
73;0;2;1;21;0;0;735;S
74;0;3;1;26;1;0;144542;C
75;1;3;1;32;0;0;564958;S
76;0;3;1;25;0;0;765;S
77;0;3;1;;0;0;78958;S
78;0;3;1;;0;0;805;S
79;1;2;1;83;0;2;29;S
80;1;3;2;30;0;0;12475;S
81;0;3;1;22;0;0;9;S
82;1;3;1;29;0;0;95;S
83;1;3;2;;0;0;77875;Q
84;0;1;1;28;0;0;471;S
85;1;2;2;17;0;0;105;S
86;1;3;2;33;3;0;1585;S
87;0;3;1;16;1;3;34375;S
88;0;3;1;;0;0;805;S
89;1;1;2;23;3;2;263;S
90;0;3;1;24;0;0;805;S
91;0;3;1;29;0;0;805;S
92;0;3;1;20;0;0;78542;S
93;0;1;1;46;1;0;61175;S
94;0;3;1;26;1;2;20575;S
95;0;3;1;59;0;0;725;S
96;0;3;1;;0;0;805;S
97;0;1;1;71;0;0;346542;C
98;1;1;1;23;0;1;633583;C
99;1;2;2;34;0;1;23;S
100;0;2;1;34;1;0;26;S
101;0;3;2;28;0;0;78958;S
102;0;3;1;;0;0;78958;S
103;0;1;1;21;0;1;772875;S
104;0;3;1;33;0;0;86542;S
105;0;3;1;37;2;0;7925;S
106;0;3;1;28;0;0;78958;S
107;1;3;2;21;0;0;765;S
108;1;3;1;;0;0;7775;S
109;0;3;1;38;0;0;78958;S
110;1;3;2;;1;0;2415;Q
111;0;1;1;47;0;0;52;S
112;0;3;2;145;1;0;144542;C
113;0;3;1;22;0;0;805;S
114;0;3;2;20;1;0;9825;S
115;0;3;2;17;0;0;144583;C
116;0;3;1;21;0;0;7925;S
117;0;3;1;705;0;0;775;Q
118;0;2;1;29;1;0;21;S
119;0;1;1;24;0;1;2475208;C
120;0;3;2;2;4;2;31275;S
121;0;2;1;21;2;0;735;S
122;0;3;1;;0;0;805;S
123;0;2;1;325;1;0;300708;C
124;1;2;2;325;0;0;13;S
125;0;1;1;54;0;1;772875;S
126;1;3;1;12;1;0;112417;C
127;0;3;1;;0;0;775;Q
128;1;3;1;24;0;0;71417;S
129;1;3;2;;1;1;223583;C
130;0;3;1;45;0;0;6975;S
131;0;3;1;33;0;0;78958;C
132;0;3;1;20;0;0;705;S
133;0;3;2;47;1;0;145;S
134;1;2;2;29;1;0;26;S
135;0;2;1;25;0;0;13;S
136;0;2;1;23;0;0;150458;C
137;1;1;2;19;0;2;262833;S
138;0;1;1;37;1;0;531;S
139;0;3;1;16;0;0;92167;S
140;0;1;1;24;0;0;792;C
141;0;3;2;;0;2;152458;C
142;1;3;2;22;0;0;775;S
143;1;3;2;24;1;0;1585;S
144;0;3;1;19;0;0;675;Q
145;0;2;1;18;0;0;115;S
146;0;2;1;19;1;1;3675;S
147;1;3;1;27;0;0;77958;S
148;0;3;2;9;2;2;34375;S
149;0;2;1;365;0;2;26;S
150;0;2;1;42;0;0;13;S
151;0;2;1;51;0;0;12525;S
152;1;1;2;22;1;0;666;S
153;0;3;1;555;0;0;805;S
154;0;3;1;405;0;2;145;S
155;0;3;1;;0;0;73125;S
156;0;1;1;51;0;1;613792;C
157;1;3;2;16;0;0;77333;Q
158;0;3;1;30;0;0;805;S
159;0;3;1;;0;0;86625;S
160;0;3;1;;8;2;6955;S
161;0;3;1;44;0;1;161;S
162;1;2;2;40;0;0;1575;S
163;0;3;1;26;0;0;7775;S
164;0;3;1;17;0;0;86625;S
165;0;3;1;1;4;1;396875;S
166;1;3;1;9;0;2;20525;S
167;1;1;2;;0;1;55;S
168;0;3;2;45;1;4;279;S
169;0;1;1;;0;0;25925;S
170;0;3;1;28;0;0;564958;S
171;0;1;1;61;0;0;335;S
172;0;3;1;4;4;1;29125;Q
173;1;3;2;1;1;1;111333;S
174;0;3;1;21;0;0;7925;S
175;0;1;1;56;0;0;306958;C
176;0;3;1;18;1;1;78542;S
177;0;3;1;;3;1;254667;S
178;0;1;2;50;0;0;287125;C
179;0;2;1;30;0;0;13;S
180;0;3;1;36;0;0;0;S
181;0;3;2;;8;2;6955;S
182;0;2;1;;0;0;1505;C
183;0;3;1;9;4;2;313875;S
184;1;2;1;1;2;1;39;S
185;1;3;2;4;0;2;22025;S
186;0;1;1;;0;0;50;S
187;1;3;2;;1;0;155;Q
188;1;1;1;45;0;0;2655;S
189;0;3;1;40;1;1;155;Q
190;0;3;1;36;0;0;78958;S
191;1;2;2;32;0;0;13;S
192;0;2;1;19;0;0;13;S
193;1;3;2;19;1;0;78542;S
194;1;2;1;3;1;1;26;S
195;1;1;2;44;0;0;277208;C
196;1;1;2;58;0;0;1465208;C
197;0;3;1;;0;0;775;Q
198;0;3;1;42;0;1;84042;S
199;1;3;2;;0;0;775;Q
200;0;2;2;24;0;0;13;S
201;0;3;1;28;0;0;95;S
202;0;3;1;;8;2;6955;S
203;0;3;1;34;0;0;64958;S
204;0;3;1;455;0;0;7225;C
205;1;3;1;18;0;0;805;S
206;0;3;2;2;0;1;104625;S
207;0;3;1;32;1;0;1585;S
208;1;3;1;26;0;0;187875;C
209;1;3;2;16;0;0;775;Q
210;1;1;1;40;0;0;31;C
211;0;3;1;24;0;0;705;S
212;1;2;2;35;0;0;21;S
213;0;3;1;22;0;0;725;S
214;0;2;1;30;0;0;13;S
215;0;3;1;;1;0;775;Q
216;1;1;2;31;1;0;113275;C
217;1;3;2;27;0;0;7925;S
218;0;2;1;42;1;0;27;S
219;1;1;2;32;0;0;762917;C
220;0;2;1;30;0;0;105;S
221;1;3;1;16;0;0;805;S
222;0;2;1;27;0;0;13;S
223;0;3;1;51;0;0;805;S
224;0;3;1;;0;0;78958;S
225;1;1;1;38;1;0;90;S
226;0;3;1;22;0;0;935;S
227;1;2;1;19;0;0;105;S
228;0;3;1;205;0;0;725;S
229;0;2;1;18;0;0;13;S
230;0;3;2;;3;1;254667;S
231;1;1;2;35;1;0;83475;S
232;0;3;1;29;0;0;7775;S
233;0;2;1;59;0;0;135;S
234;1;3;2;5;4;2;313875;S
235;0;2;1;24;0;0;105;S
236;0;3;2;;0;0;755;S
237;0;2;1;44;1;0;26;S
238;1;2;2;8;0;2;2625;S
239;0;2;1;19;0;0;105;S
240;0;2;1;33;0;0;12275;S
241;0;3;2;;1;0;144542;C
242;1;3;2;;1;0;155;Q
243;0;2;1;29;0;0;105;S
244;0;3;1;22;0;0;7125;S
245;0;3;1;30;0;0;7225;C
246;0;1;1;44;2;0;90;Q
247;0;3;2;25;0;0;7775;S
248;1;2;2;24;0;2;145;S
249;1;1;1;37;1;1;525542;S
250;0;2;1;54;1;0;26;S
251;0;3;1;;0;0;725;S
252;0;3;2;29;1;1;104625;S
253;0;1;1;62;0;0;2655;S
254;0;3;1;30;1;0;161;S
255;0;3;2;41;0;2;202125;S
256;1;3;2;29;0;2;152458;C
257;1;1;2;;0;0;792;C
258;1;1;2;30;0;0;865;S
259;1;1;2;35;0;0;5123292;C
260;1;2;2;50;0;1;26;S
261;0;3;1;;0;0;775;Q
262;1;3;1;3;4;2;313875;S
263;0;1;1;52;1;1;7965;S
264;0;1;1;40;0;0;0;S
265;0;3;2;;0;0;775;Q
266;0;2;1;36;0;0;105;S
267;0;3;1;16;4;1;396875;S
268;1;3;1;25;1;0;7775;S
269;1;1;2;58;0;1;1534625;S
270;1;1;2;35;0;0;1356333;S
271;0;1;1;;0;0;31;S
272;1;3;1;25;0;0;0;S
273;1;2;2;41;0;1;195;S
274;0;1;1;37;0;1;297;C
275;1;3;2;;0;0;775;Q
276;1;1;2;63;1;0;779583;S
277;0;3;2;45;0;0;775;S
278;0;2;1;;0;0;0;S
279;0;3;1;7;4;1;29125;Q
280;1;3;2;35;1;1;2025;S
281;0;3;1;65;0;0;775;Q
282;0;3;1;28;0;0;78542;S
283;0;3;1;16;0;0;95;S
284;1;3;1;19;0;0;805;S
285;0;1;1;;0;0;26;S
286;0;3;1;33;0;0;86625;C
287;1;3;1;30;0;0;95;S
288;0;3;1;22;0;0;78958;S
289;1;2;1;42;0;0;13;S
290;1;3;2;22;0;0;775;Q
291;1;1;2;26;0;0;7885;S
292;1;1;2;19;1;0;910792;C
293;0;2;1;36;0;0;12875;C
294;0;3;2;24;0;0;885;S
295;0;3;1;24;0;0;78958;S
296;0;1;1;;0;0;277208;C
297;0;3;1;235;0;0;72292;C
298;0;1;2;2;1;2;15155;S
299;1;1;1;;0;0;305;S
300;1;1;2;50;0;1;2475208;C
301;1;3;2;;0;0;775;Q
302;1;3;1;;2;0;2325;Q
303;0;3;1;19;0;0;0;S
304;1;2;2;;0;0;1235;Q
305;0;3;1;;0;0;805;S
